code,year,habitatloss,co2emission
ROU,2017,19187.03312,9899241.664
RUS,2017,5288940.641,1134696697
RWA,2017,2728.818306,1941321.826
SDN,2017,74.64733217,19935.79841
SEN,2017,391.7954827,106955.7908
SGP,2017,262.6503472,110194.6103
SLB,2017,19761.3858,15770785.37
SLE,2017,232752.748,113180162.4
SLV,2017,4745.634265,2253927.579
SMR,2017,0.05572152468,10.47374975
SOM,2017,304.8967333,57371.68488
SRB,2017,3570.642009,1739165.729
SSD,2017,6856.227015,2932507.757
SUR,2017,18018.47528,14166661.37
SVK,2017,14213.00815,7662867.445
SVN,2017,4891.962533,2890231.636
SWE,2017,331217.2251,88193159.91
SWZ,2017,6376.503672,2619851.511
SXM,2017,4.540947524,1308.990516
SYR,2017,2146.569604,567051.414
TCA,2017,32.83492385,8864.00062
TCD,2017,6765.138654,2013180.604
TGO,2017,7186.209751,3962938.41
THA,2017,196456.5063,115238587.7
TJK,2017,0.1211538719,42.5976916
TKM,2017,0.06104725504,26.96229856
TLS,2017,1713.243284,841536.8659
TTO,2017,739.1110298,429898.6556
TUN,2017,8525.836503,2140114.8
TUR,2017,33901.12336,9524167.693
TWN,2017,2584.120536,1165392.906
TZA,2017,194875.8611,68120722.39
UGA,2017,116902.4545,52369962.3
UKR,2017,85853.87972,35047833.67
URY,2017,21859.3474,43537371.54
USA,2017,2311358.03,1049371468
UZB,2017,1.694133047,504.4929827
VCT,2017,30.79835,18211.54417
VEN,2017,166982.302,80233995.69
VGB,2017,229.3625617,100146.2701
VIR,2017,1126.425149,563292.5194
VNM,2017,286940.2922,201806468.1
VUT,2017,436.0919411,255460.9712
XAD,2017,1.334820453,320.8129571
XCA,2017,6.909046848,20.59187672
XKO,2017,626.36211,343993.7257
XNC,2017,27.65782827,7125.134894
ZAF,2017,94055.92503,57412229.15
ZMB,2017,162681.4736,58910913.95
ZWE,2017,25978.30455,11357700.76
ABW,2018,0.300630886,58.20997734
AFG,2018,25.70584525,7543.507653
AGO,2018,242552.4974,88895491.34
AIA,2018,0.2194748151,84.7813811
ALA,2018,619.7066888,197395.8118
ALB,2018,2048.769228,781535.0918
AND,2018,14.88821363,8662.622387
ARG,2018,172958.0946,45497421.17
ARM,2018,5.902521853,1964.763714
ATG,2018,162.814606,49748.51085
AUS,2018,250750.6987,84673908.08
AUT,2018,26310.09294,14834712.43
AZE,2018,75.32863976,22617.45256
BDI,2018,2874.575195,1461926.56
BEL,2018,4630.608123,2592688.985
BEN,2018,1825.970808,887983.1664
BES,2018,0.4407792715,159.4223103
BFA,2018,0,980.2874003
BGD,2018,19342.87285,10139561.13
BGR,2018,9753.980071,4552057.533
BHS,2018,913.7490764,324097.4231
BIH,2018,2673.670805,1454590.233
BLR,2018,87446.57021,33661962.65
BLZ,2018,11163.66632,5264564.672
BOL,2018,301855.8181,137428057.5
BRA,2018,2948462.08,1783794932
BRB,2018,22.63424415,8703.850645
BRN,2018,806.6344308,542239.1222
BTN,2018,1240.06449,703756.3746
BWA,2018,2.624943873,782.9087006
CAF,2018,40912.99304,18801516.22
CAN,2018,2142937.381,473503752.6
CHE,2018,3134.386775,1788459.636
CHL,2018,76897.64,36474436.93
CHN,2018,569452.9736,247361979.5
CIV,2018,324739.8778,177157571.9
CMR,2018,120813.9643,74958699.06
COD,2018,1373807.412,877525994.5
COG,2018,62697.90587,39125969.74
COL,2018,352434.0103,209191833.7
COM,2018,218.1590353,109844.3899
CPV,2018,10.8567903,0
CRI,2018,12337.85887,6963517.158
CUB,2018,14955.10307,6293408.267
CUW,2018,0.7522238867,232.4301016
CYM,2018,42.38853785,11745.77052
CYP,2018,32.45037143,9703.730603
CZE,2018,39206.38918,21567369.56
DEU,2018,52237.22546,29759619.19
DMA,2018,778.5652048,471027.6581
DNK,2018,3161.625253,1139579.208
DOM,2018,13970.42863,6377372.663
DZA,2018,5763.909736,1865557.604
ECU,2018,38709.38273,26943160.88
EGY,2018,62.7381515,12873.27813
ESP,2018,119649.0023,51447415.18
EST,2018,40038.15893,12938965.28
ETH,2018,18894.24322,8964131.956
FIN,2018,269954.7992,60592864.57
FJI,2018,1366.935363,799014.7658
FRA,2018,69201.43579,35758220.94
GAB,2018,26788.05632,17341042.36
GBR,2018,26251.4669,12019761.36
GEO,2018,300.04916,127500.4656
GGY,2018,0.1007252437,36.54724234
GHA,2018,151445.5949,86407934.02
GIN,2018,182895.3566,80746056.66
GLP,2018,100.8985828,46885.50404
GMB,2018,6.145941941,1510.539777
GNB,2018,14394.17076,6137675.615
GNQ,2018,7823.437087,5174419.368
GRC,2018,7122.192618,1810870.559
GRD,2018,109.8081576,62598.97085
GTM,2018,71160.90214,35792716
GUF,2018,3738.711204,2861566.649
GUY,2018,11760.82238,7724089.118
HKG,2018,156.1794881,66122.94424
HND,2018,76254.10504,39130677.2
HRV,2018,8285.340238,4234624.413
HTI,2018,4131.551805,1919828.351
HUN,2018,13798.78104,5521622.402
IDN,2018,1218732.516,733757609.3
IMN,2018,11.83651862,4483.061115
IND,2018,132232.993,65111763.01
IRL,2018,8380.343071,4197051.312
IRN,2018,67.98958789,17830.20334
ISR,2018,39.65515358,11104.25943
ITA,2018,38843.51052,13775176.78
JAM,2018,2232.636115,1179976.733
JEY,2018,0.05061539346,17.48608614
JPN,2018,50506.94951,25178376.47
KAZ,2018,1138.887815,431935.377
KEN,2018,15908.41524,8209415.034
